player_id,player_name,tweet_text,platform,date
1,Lionel Messi,Lionel Messi performance was average,Twitter,1/2/2025
2,Cristiano Ronaldo,Cristiano Ronaldo performance was average,Twitter,1/3/2025
3,Kylian Mbappe,Kylian Mbappe gave a शानदार assist,Twitter,1/4/2025
4,Neymar Jr,Neymar Jr showed great skill,Twitter,1/5/2025
5,Kevin De Bruyne,Kevin De Bruyne performance was average,Twitter,1/6/2025
6,Erling Haaland,Erling Haaland dominated the midfield,Twitter,1/7/2025
7,Mohamed Salah,Mohamed Salah showed great skill,Twitter,1/8/2025
8,Harry Kane,Harry Kane was outstanding today,Twitter,1/9/2025
9,Robert Lewandowski,Robert Lewandowski played an amazing match,Twitter,1/10/2025
10,Vinicius Jr,Vinicius Jr needs improvement,Twitter,1/11/2025
11,Luka Modric,Luka Modric showed great skill,Twitter,1/12/2025
12,Karim Benzema,Karim Benzema missed a big chance,Twitter,1/13/2025
13,Bruno Fernandes,Bruno Fernandes performance was average,Twitter,1/14/2025
14,Pedri,Pedri played an amazing match,Twitter,1/15/2025
15,Jude Bellingham,Jude Bellingham dominated the midfield,Twitter,1/16/2025
16,Antoine Griezmann,Antoine Griezmann needs improvement,Twitter,1/17/2025
17,Son Heung-min,Son Heung-min missed a big chance,Twitter,1/18/2025
18,Bukayo Saka,Bukayo Saka showed great skill,Twitter,1/19/2025
19,Marcus Rashford,Marcus Rashford gave a शानदार assist,Twitter,1/20/2025
20,Phil Foden,Phil Foden dominated the midfield,Twitter,1/21/2025
21,Bernardo Silva,Bernardo Silva looked very sharp today,Twitter,1/22/2025
22,Casemiro,Casemiro struggled in defense,Twitter,1/23/2025
23,Joshua Kimmich,Joshua Kimmich looked very sharp today,Twitter,1/24/2025
24,Sergio Ramos,Sergio Ramos struggled in defense,Twitter,1/25/2025
25,Virgil van Dijk,Virgil van Dijk struggled in defense,Twitter,1/26/2025
26,Trent Alexander-Arnold,Trent Alexander-Arnold scored a brilliant goal,Twitter,1/27/2025
27,Achraf Hakimi,Achraf Hakimi showed great skill,Twitter,1/28/2025
28,Joao Felix,Joao Felix looked very sharp today,Twitter,1/29/2025
29,Rodri,Rodri gave a शानदार assist,Twitter,1/30/2025
30,Gavi,Gavi played an amazing match,Twitter,1/31/2025
31,Alphonso Davies,Alphonso Davies needs improvement,Twitter,2/1/2025
32,Riyad Mahrez,Riyad Mahrez missed a big chance,Twitter,2/2/2025
33,Raheem Sterling,Raheem Sterling was disappointing today,Twitter,2/3/2025
34,Jack Grealish,Jack Grealish gave a शानदार assist,Twitter,2/4/2025
35,Ilkay Gundogan,Ilkay Gundogan was disappointing today,Twitter,2/5/2025
36,Toni Kroos,Toni Kroos struggled in defense,Twitter,2/6/2025
37,Marco Verratti,Marco Verratti scored a brilliant goal,Twitter,2/7/2025
38,Declan Rice,Declan Rice was outstanding today,Twitter,2/8/2025
39,Enzo Fernandez,Enzo Fernandez dominated the midfield,Twitter,2/9/2025
40,Darwin Nunez,Darwin Nunez was disappointing today,Twitter,2/10/2025
41,Lautaro Martinez,Lautaro Martinez missed a big chance,Twitter,2/11/2025
42,Paulo Dybala,Paulo Dybala played an amazing match,Twitter,2/12/2025
43,Angel Di Maria,Angel Di Maria was disappointing today,Twitter,2/13/2025
44,Edinson Cavani,Edinson Cavani gave a शानदार assist,Twitter,2/14/2025
45,Zlatan Ibrahimovic,Zlatan Ibrahimovic missed a big chance,Twitter,2/15/2025
46,Romelu Lukaku,Romelu Lukaku looked very sharp today,Twitter,2/16/2025
47,Olivier Giroud,Olivier Giroud performance was average,Twitter,2/17/2025
48,Thomas Muller,Thomas Muller was outstanding today,Twitter,2/18/2025
49,Kingsley Coman,Kingsley Coman was outstanding today,Twitter,2/19/2025
50,Serge Gnabry,Serge Gnabry scored a brilliant goal,Twitter,2/20/2025
51,Jamal Musiala,Jamal Musiala showed great skill,Twitter,2/21/2025
52,Kai Havertz,Kai Havertz gave a शानदार assist,Twitter,2/22/2025
53,Mason Mount,Mason Mount was disappointing today,Twitter,2/23/2025
54,Christian Pulisic,Christian Pulisic played an amazing match,Twitter,2/24/2025
55,Frenkie de Jong,Frenkie de Jong performance was average,Twitter,2/25/2025
56,Matthijs de Ligt,Matthijs de Ligt gave a शानदार assist,Twitter,2/26/2025
57,Gerard Pique,Gerard Pique showed great skill,Twitter,2/27/2025
58,Thiago Alcantara,Thiago Alcantara dominated the midfield,Twitter,2/28/2025
59,Sadio Mane,Sadio Mane looked very sharp today,Twitter,3/1/2025
60,Joao Cancelo,Joao Cancelo scored a brilliant goal,Twitter,3/2/2025
61,Ruben Dias,Ruben Dias scored a brilliant goal,Twitter,3/3/2025
62,Aymeric Laporte,Aymeric Laporte gave a शानदार assist,Twitter,3/4/2025
63,Kalidou Koulibaly,Kalidou Koulibaly was disappointing today,Twitter,3/5/2025
64,Wesley Fofana,Wesley Fofana gave a शानदार assist,Twitter,3/6/2025
65,Ben Chilwell,Ben Chilwell showed great skill,Twitter,3/7/2025
66,Reece James,Reece James was disappointing today,Twitter,3/8/2025
67,Kyle Walker,Kyle Walker performance was average,Twitter,3/9/2025
68,John Stones,John Stones missed a big chance,Twitter,3/10/2025
69,Presnel Kimpembe,Presnel Kimpembe scored a brilliant goal,Twitter,3/11/2025
70,Marquinhos,Marquinhos scored a brilliant goal,Twitter,3/12/2025
71,Lucas Hernandez,Lucas Hernandez dominated the midfield,Twitter,3/13/2025
72,Theo Hernandez,Theo Hernandez played an amazing match,Twitter,3/14/2025
73,Andrew Robertson,Andrew Robertson was outstanding today,Twitter,3/15/2025
74,Kieran Trippier,Kieran Trippier gave a शानदार assist,Twitter,3/16/2025
75,Luke Shaw,Luke Shaw gave a शानदार assist,Twitter,3/17/2025
76,Dani Carvajal,Dani Carvajal missed a big chance,Twitter,3/18/2025
77,Jordi Alba,Jordi Alba played an amazing match,Twitter,3/19/2025
78,Nacho Fernandez,Nacho Fernandez looked very sharp today,Twitter,3/20/2025
79,Eder Militao,Eder Militao dominated the midfield,Twitter,3/21/2025
80,David Alaba,David Alaba struggled in defense,Twitter,3/22/2025
81,Thibaut Courtois,Thibaut Courtois performance was average,Twitter,3/23/2025
82,Alisson Becker,Alisson Becker showed great skill,Twitter,3/24/2025
83,Ederson Moraes,Ederson Moraes dominated the midfield,Twitter,3/25/2025
84,Marc-Andre ter Stegen,Marc-Andre ter Stegen scored a brilliant goal,Twitter,3/26/2025
85,Jan Oblak,Jan Oblak dominated the midfield,Twitter,3/27/2025
86,Gianluigi Donnarumma,Gianluigi Donnarumma gave a शानदार assist,Twitter,3/28/2025
87,Mike Maignan,Mike Maignan looked very sharp today,Twitter,3/29/2025
88,Emiliano Martinez,Emiliano Martinez showed great skill,Twitter,3/30/2025
89,Keylor Navas,Keylor Navas missed a big chance,Twitter,3/31/2025
90,Manuel Neuer,Manuel Neuer scored a brilliant goal,Twitter,4/1/2025
91,Hugo Lloris,Hugo Lloris gave a शानदार assist,Twitter,4/2/2025
92,Wojciech Szczesny,Wojciech Szczesny dominated the midfield,Twitter,4/3/2025
93,Aaron Ramsdale,Aaron Ramsdale looked very sharp today,Twitter,4/4/2025
94,Jordan Pickford,Jordan Pickford was disappointing today,Twitter,4/5/2025
95,Diogo Costa,Diogo Costa needs improvement,Twitter,4/6/2025
96,Andre Onana,Andre Onana played an amazing match,Twitter,4/7/2025
97,Yassine Bounou,Yassine Bounou played an amazing match,Twitter,4/8/2025
98,Samir Handanovic,Samir Handanovic was disappointing today,Twitter,4/9/2025
99,Peter Gulacsi,Peter Gulacsi dominated the midfield,Twitter,4/10/2025
100,Koen Casteels,Koen Casteels needs improvement,Twitter,4/11/2025
101,Nicolo Barella,Nicolo Barella performance was average,Twitter,4/12/2025
102,Jorginho,Jorginho needs improvement,Twitter,4/13/2025
103,Sandro Tonali,Sandro Tonali needs improvement,Twitter,4/14/2025
104,Lorenzo Pellegrini,Lorenzo Pellegrini performance was average,Twitter,4/15/2025
105,Sergej Milinkovic-Savic,Sergej Milinkovic-Savic was outstanding today,Twitter,4/16/2025
106,Marcelo Brozovic,Marcelo Brozovic gave a शानदार assist,Twitter,4/17/2025
107,Hakan Calhanoglu,Hakan Calhanoglu dominated the midfield,Twitter,4/18/2025
108,Piotr Zielinski,Piotr Zielinski dominated the midfield,Twitter,4/19/2025
109,Youri Tielemans,Youri Tielemans performance was average,Twitter,4/20/2025
110,Martin Odegaard,Martin Odegaard dominated the midfield,Twitter,4/21/2025
111,Bruno Guimaraes,Bruno Guimaraes scored a brilliant goal,Twitter,4/22/2025
112,Fabinho,Fabinho performance was average,Twitter,4/23/2025
113,Thomas Partey,Thomas Partey was outstanding today,Twitter,4/24/2025
114,Declan Rice,Declan Rice needs improvement,Twitter,4/25/2025
115,Casemiro 2,Casemiro 2 was disappointing today,Twitter,4/26/2025
116,Rodri 2,Rodri 2 looked very sharp today,Twitter,4/27/2025
117,Gavi 2,Gavi 2 was outstanding today,Twitter,4/28/2025
118,Pedri 2,Pedri 2 scored a brilliant goal,Twitter,4/29/2025
119,Bellingham 2,Bellingham 2 looked very sharp today,Twitter,4/30/2025
120,Modric 2,Modric 2 showed great skill,Twitter,5/1/2025
121,Messi 2,Messi 2 needs improvement,Twitter,5/2/2025
122,Ronaldo 2,Ronaldo 2 was disappointing today,Twitter,5/3/2025
123,Mbappe 2,Mbappe 2 showed great skill,Twitter,5/4/2025
124,Neymar 2,Neymar 2 scored a brilliant goal,Twitter,5/5/2025
125,Haaland 2,Haaland 2 played an amazing match,Twitter,5/6/2025
126,Salah 2,Salah 2 struggled in defense,Twitter,5/7/2025
127,Kane 2,Kane 2 missed a big chance,Twitter,5/8/2025
128,Lewandowski 2,Lewandowski 2 played an amazing match,Twitter,5/9/2025
129,Vinicius 2,Vinicius 2 played an amazing match,Twitter,5/10/2025
130,Benzema 2,Benzema 2 was disappointing today,Twitter,5/11/2025
131,De Bruyne 2,De Bruyne 2 was disappointing today,Twitter,5/12/2025
132,Griezmann 2,Griezmann 2 played an amazing match,Twitter,5/13/2025
133,Saka 2,Saka 2 scored a brilliant goal,Twitter,5/14/2025
134,Rashford 2,Rashford 2 struggled in defense,Twitter,5/15/2025
135,Foden 2,Foden 2 scored a brilliant goal,Twitter,5/16/2025
136,Mahrez 2,Mahrez 2 dominated the midfield,Twitter,5/17/2025
137,Sterling 2,Sterling 2 performance was average,Twitter,5/18/2025
138,Grealish 2,Grealish 2 dominated the midfield,Twitter,5/19/2025
139,Gundogan 2,Gundogan 2 performance was average,Twitter,5/20/2025
140,Kroos 2,Kroos 2 was disappointing today,Twitter,5/21/2025
